NoiseLevel,Model,RMSE,MAE,R2
0.0,RF,65.24412166798814,45.745476996276594,0.5211050826038945
0.0,GradientBoosting,66.44925611994145,46.60487999916057,0.503250204523275
0.0,XGBoost,65.67411098170771,46.01750554996489,0.5147719986353315
0.0,LightGBM,62.00218296116683,42.50011275429618,0.56751464019587
0.05,RF,65.77319788248796,46.25407590151982,0.5133067025343804
0.05,GradientBoosting,67.35991937278094,47.21858397047816,0.48954135034415014
0.05,XGBoost,78.7621636076152,57.20639911256873,0.3021007598489204
0.05,LightGBM,64.48999192331492,43.37255432443409,0.5321117973058693
0.1,RF,68.52472889120422,47.999943946199714,0.47173467849357176
0.1,GradientBoosting,69.99448226925881,48.85173372704885,0.44883064729098565
0.1,XGBoost,80.49113991492091,58.26878451728538,0.27112407466562516
0.1,LightGBM,68.36221116380804,45.83998410136589,0.47423744426073666
0.15,RF,71.84251315503779,50.26793968241697,0.41934190853041386
0.15,GradientBoosting,73.22344172552849,50.98651954067848,0.39680500913649086
0.15,XGBoost,82.43751068674965,59.257124174299285,0.23544771899800643
0.15,LightGBM,73.14325655483461,49.13056745087349,0.39812537346940613
0.2,RF,75.07834011518305,52.861002661036004,0.3658576251729274
0.2,GradientBoosting,77.113665725342,53.854603882590546,0.3310091974799825
0.2,XGBoost,84.63631053166844,60.729943711902735,0.19411903721379364
0.2,LightGBM,78.41466029033947,53.021353255559816,0.3082455196837264
