Method,MissingRate,RMSE,MAE,R2
Mean,0.1,72.57563979693217,50.505040704706,0.40743063389161405
Mean,0.2,79.01677972854745,54.97260953440374,0.29758123903747
Mean,0.3,82.76064539529324,57.21589246608882,0.22944225933335693
Mean,0.4,86.75441047114151,60.07362938739649,0.1532785228136162
Median,0.1,72.66941982501714,50.71962686890929,0.4058982443560032
Median,0.2,77.86495608227976,54.48254848286216,0.31791023014892705
Median,0.3,82.37262641710169,57.79417264362547,0.23665076100253124
Median,0.4,86.10807486213317,60.287225178824286,0.16584797314595867
KNN,0.1,69.5171161329301,48.3404181258771,0.4563230199781231
KNN,0.2,75.40273301243624,51.93219213583815,0.3603658763432541
KNN,0.3,78.09940249322499,54.17581599605249,0.31379658901410423
KNN,0.4,83.68790911690391,56.94924170532304,0.2120786203884869
Iterative/MICE,0.1,71.36717214619377,49.20061321989908,0.42700025700402056
Iterative/MICE,0.2,77.20000359976837,52.49218132210814,0.3295103301258975
Iterative/MICE,0.3,80.49733204622585,55.09049082143228,0.27101192644553795
Iterative/MICE,0.4,84.57576604836363,57.56954647125332,0.19527159678704942
